N30_d30; Ins 3; Time 1.802535057067871; MP_obj 419.0; LB 0.0; x_now [1, 37, 54, 65, 72]; Cells 1/1; Iter 1
N30_d30; Ins 3; Time 2.0402050018310547; MP_obj 363.0; LB 0.0; x_now [1, 7, 37, 72, 106]; Cells 1/1; Iter 2
N30_d30; Ins 3; Time 2.1728460788726807; MP_obj 363.0; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 1/1; Iter 3
N30_d30; Ins 3; Time 3.495944023132324; MP_obj 350.0; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 2/2; Iter 4
N30_d30; Ins 3; Time 3.682096004486084; MP_obj 350.0; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 4/4; Iter 5
N30_d30; Ins 3; Time 3.8376998901367188; MP_obj 342.125; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 8/8; Iter 6
N30_d30; Ins 3; Time 3.9845380783081055; MP_obj 342.125; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 16/16; Iter 7
N30_d30; Ins 3; Time 4.186996936798096; MP_obj 341.6875; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 32/32; Iter 8
N30_d30; Ins 3; Time 4.498655080795288; MP_obj 339.388671875; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 64/64; Iter 9
N30_d30; Ins 3; Time 4.855294942855835; MP_obj 334.9912109375; LB 0.0; x_now [1, 7, 54, 72, 106]; Cells 128/128; Iter 10
N30_d30; Ins 3; Time 5.4280219078063965; MP_obj 328.8037109375; LB 2.40625; x_now [1, 7, 54, 72, 106]; Cells 254/255; Iter 11
N30_d30; Ins 3; Time 5.6179258823394775; MP_obj 323.42724609375; LB 2.40625; x_now [1, 7, 54, 72, 163]; Cells 255/255; Iter 12
N30_d30; Ins 3; Time 6.645870923995972; MP_obj 322.748779296875; LB 14.439453125; x_now [1, 7, 54, 72, 106]; Cells 488/499; Iter 13
N30_d30; Ins 3; Time 8.447926998138428; MP_obj 317.84063720703125; LB 37.204345703125; x_now [1, 7, 54, 72, 106]; Cells 900/949; Iter 14
N30_d30; Ins 3; Time 8.837378025054932; MP_obj 315.84796142578125; LB 37.204345703125; x_now [1, 72, 106, 163, 203]; Cells 949/949; Iter 15
N30_d30; Ins 3; Time 9.148305892944336; MP_obj 314.7474365234375; LB 37.204345703125; x_now [1, 7, 25, 54, 72]; Cells 949/949; Iter 16
N30_d30; Ins 3; Time 12.698482036590576; MP_obj 314.6452331542969; LB 67.59747314453125; x_now [1, 7, 54, 72, 106]; Cells 1596/1747; Iter 17
N30_d30; Ins 3; Time 18.58183789253235; MP_obj 312.77569580078125; LB 103.44921875; x_now [1, 7, 54, 72, 106]; Cells 2710/3102; Iter 18
N30_d30; Ins 3; Time 28.65039300918579; MP_obj 311.7236747741699; LB 140.66965866088867; x_now [1, 7, 54, 72, 106]; Cells 4422/5313; Iter 19
N30_d30; Ins 3; Time 29.993319988250732; MP_obj 311.2369155883789; LB 140.66965866088867; x_now [1, 7, 72, 106, 163]; Cells 5313/5313; Iter 20
N30_d30; Ins 3; Time 48.54671287536621; MP_obj 311.1243944168091; LB 175.17059898376465; x_now [1, 7, 54, 72, 106]; Cells 7006/8816; Iter 21
N30_d30; Ins 3; Time 75.86560201644897; MP_obj 310.7601890563965; LB 204.72332620620728; x_now [1, 7, 54, 72, 106]; Cells 10890/14261; Iter 22
N30_d30; Ins 3; Time 119.93943190574646; MP_obj 310.52542757987976; LB 228.67440748214722; x_now [1, 7, 54, 72, 106]; Cells 16764/22643; Iter 23
N30_d30; Ins 3; Time 129.05313205718994; MP_obj 310.3755918741226; LB 228.67440748214722; x_now [1, 7, 72, 106, 163]; Cells 22643/22643; Iter 24
N30_d30; Ins 3; Time 215.65003204345703; MP_obj 310.3716971874237; LB 247.72137612104416; x_now [1, 7, 54, 72, 106]; Cells 25604/35445; Iter 25
N30_d30; Ins 3; Time 341.82194209098816; MP_obj 310.2700736820698; LB 262.7685096859932; x_now [1, 7, 54, 72, 106]; Cells 38738/54814; Iter 26
N30_d30; Ins 3; Time 552.5002160072327; MP_obj 310.20380264520645; LB 274.46743680536747; x_now [1, 7, 54, 72, 106]; Cells 58138/83883; Iter 27
N30_d30; Ins 3; Time 646.2657489776611; MP_obj 310.15810226649046; LB 274.46743680536747; x_now [1, 7, 72, 106, 163]; Cells 83883/83883; Iter 28
