26
1
10

1	5	85.0	85.0	29.0
1	8	136.0	136.0	6.0
1	9	311.0	311.0	35.0
2	3	25.0	25.0	32.0
2	5	81.0	81.0	1.0
2	9	285.0	285.0	49.0
2	10	161.0	161.0	27.0
3	4	21.0	21.0	48.0
4	2	100.0	100.0	35.0
4	5	34.0	34.0	24.0
4	10	241.0	241.0	30.0
5	2	9.0	15.0	5.0
5	6	34.0	34.0	15.0
5	7	24.0	24.0	19.0
5	10	163.0	163.0	1.0
6	4	47.0	47.0	17.0
7	2	33.0	393.0	33.0
7	5	5.0	19.0	11.0
7	10	113.0	113.0	30.0
8	5	39.0	39.0	1.0
8	6	40.0	40.0	33.0
8	7	32.0	32.0	10.0
8	9	20.0	20.0	39.0
9	3	266.0	266.0	35.0
9	5	109.0	109.0	10.0
9	8	4.0	6.0	44.0
