N50; Ins 118; β 0.023; Time 854.8039329051971; MP_obj 515.7598748132588; x_now [2, 3, 110, 118, 124, 137, 179]; Cells 26236; Iter 44
N50; Ins 56; β 0.049; Time 36.44185400009155; MP_obj 541.0; x_now [1, 2, 3, 4, 10, 31, 168]; Cells 1; Iter 2
N50; Ins 142; β 0.475; Time 39.27359199523926; MP_obj 504.99999999999994; x_now [1, 2, 71, 110, 133, 174, 176]; Cells 5; Iter 9
N50; Ins 56; β 0.049; Time 36.47510385513306; MP_obj 541.0; x_now [1, 2, 3, 4, 10, 31, 168]; Cells 1; Iter 2
N50; Ins 56; β 0.049; Time 840.342796087265; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 84; β 0.04; Time 1124.9745428562164; MP_obj 496.0702981054783; x_now [1, 72, 105, 108, 159, 165, 220]; Cells 30235; Iter 53
N50; Ins 16; β 0.323; Time 39.79568910598755; MP_obj 497.15625000000006; x_now [1, 3, 11, 115, 127, 186, 211]; Cells 32; Iter 24
N50; Ins 110; β 0.671; Time 37.650861978530884; MP_obj 516.0; x_now [1, 2, 3, 5, 101, 166, 178]; Cells 1; Iter 3
N50; Ins 118; β 0.023; Time 872.5411968231201; MP_obj 515.7598748132588; x_now [2, 3, 110, 118, 124, 137, 179]; Cells 26236; Iter 44
N50; Ins 142; β 0.475; Time 40.354860067367554; MP_obj 496.99999999999994; x_now [2, 35, 109, 110, 133, 174, 176]; Cells 20; Iter 15
N50; Ins 35; β 0.023; Time 5402.327193021774; MP_obj 505.65800717473036; x_now [3, 107, 171, 188, 192, 209, 215]; Cells 135324; Iter 64
N50; Ins 41; β 0.95; Time 44.68653702735901; MP_obj 498.32220458984375; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 158; Iter 42
N50; Ins 43; β 0.821; Time 39.132076025009155; MP_obj 521.4375; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 12; Iter 11
N50; Ins 56; β 0.049; Time 832.7351770401001; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 30.58975887298584; MP_obj 488.0; x_now [2, 3, 4, 5, 6, 7, 8]; Cells 1; Iter 1
N50; Ins 56; β 0.049; Time 22.800353050231934; MP_obj 1.0e6; x_now Int64[]; Cells 1; Iter 0
N50; Ins 56; β 0.049; Time 1043.9117720127106; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 1059.6298739910126; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 37.81486105918884; MP_obj 506.890625; x_now [1, 2, 3, 4, 10, 12, 113]; Cells 30; Iter 14
N50; Ins 56; β 0.049; Time 38.51710796356201; MP_obj 506.890625; x_now [1, 2, 3, 4, 10, 12, 113]; Cells 30; Iter 14
N50; Ins 56; β 0.049; Time 38.54830193519592; MP_obj 506.890625; x_now [1, 2, 3, 4, 10, 12, 113]; Cells 30; Iter 14
N50; Ins 56; β 0.049; Time 36.194730043411255; MP_obj 541.0; x_now [1, 2, 3, 4, 10, 31, 168]; Cells 1; Iter 2
N50; Ins 56; β 0.049; Time 849.9637379646301; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 815.4121270179749; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 837.3992040157318; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 869.1007058620453; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 851.4730498790741; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 56; β 0.049; Time 857.4692029953003; MP_obj 508.18797540664673; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 7933; Iter 54
N50; Ins 41; β 0.95; Time 4.371401071548462; MP_obj 498.33471679687506; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 137; Iter 39
N50; Ins 41; Time 4.5208330154418945; MP_obj 498.33471679687506; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 137; Iter 39
