N50; Ins 41; β 0.95; Time 58.963200092315674; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 69.35222291946411; MP_obj 498.3642578125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 40; Iter 35
N50; Ins 41; β 0.95; Time 58.80185294151306; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 53.17336177825928; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 110; β 0.671; Time 37.17563986778259; MP_obj 516.0; x_now [1, 2, 3, 4, 5, 166, 178]; Cells 1; Iter 1
N50; Ins 142; β 0.475; Time 106.40774703025818; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 39
N50; Ins 41; β 0.95; Time 52.277493953704834; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 41; β 0.95; Time 52.524094104766846; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 142; β 0.475; Time 100.17347002029419; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 39
N50; Ins 142; β 0.475; Time 96.33746194839478; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 32
N50; Ins 142; β 0.475; Time 98.31112599372864; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 32

================Dec 1 after noon====================
