N50; Ins 84; Time 379.8548560142517; MP_obj 495.78324173577136; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 30235; Iter 55
N50; Ins 110; Time 2.6985201835632324; MP_obj 516.0; x_now [1, 3, 5, 39, 101, 166, 178]; Cells 1; Iter 3
N50; Ins 118; Time 166.83094096183777; MP_obj 515.7628889083863; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 15331; Iter 38
N50; Ins 142; Time 3.4352500438690186; MP_obj 497.0; x_now [2, 35, 109, 110, 133, 174, 176]; Cells 20; Iter 15
N50; Ins 41; Time 6.179608106613159; MP_obj 498.33471679687506; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 137; Iter 39
N50; Ins 43; Time 4.164165019989014; MP_obj 521.0873413085938; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 125; Iter 21
N50; Ins 56; Time 70.1474199295044; MP_obj 508.1845197677613; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 4538; Iter 46
N50; Ins 16; Time 1025.6945049762726; MP_obj 496.10951104760176; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 80477; Iter 64
N50; Ins 16; Time 852.4397370815277; MP_obj 496.10951104760176; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 80477; Iter 64
---------------
N50; Ins 110; Time 1.8161342144012451; MP_obj 516.0; x_now [1, 3, 5, 39, 101, 166, 178]; Cells 1; Iter 3
N50; Ins 118; Time 107.83644413948059; MP_obj 515.7628889083863; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 15331; Iter 38
N50; Ins 142; Time 2.3740670680999756; MP_obj 497.0; x_now [2, 35, 109, 110, 133, 174, 176]; Cells 20; Iter 15
N50; Ins 16; Time 828.5587468147278; MP_obj 496.10951104760176; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 80477; Iter 64
N50; Ins 41; Time 4.225545167922974; MP_obj 498.33471679687506; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 137; Iter 39
N50; Ins 43; Time 2.7977399826049805; MP_obj 521.0873413085938; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 125; Iter 21
N50; Ins 56; Time 46.562581062316895; MP_obj 508.1845197677613; x_now [1, 2, 4, 10, 142, 175, 191]; Cells 4538; Iter 46
N50; Ins 84; Time 219.60635495185852; MP_obj 495.78324173577136; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 30235; Iter 55
