N50; Ins 118; Time 72.88986802101135; MP_obj 515.760716047138; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 8491; Iter 39
N50; Ins 142; Time 10.66440200805664; MP_obj 495.2566566467285; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 36
N50; Ins 41; Time 8.447762966156006; MP_obj 498.2392578125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 70; Iter 33
N50; Ins 35; Time 21.33547306060791; MP_obj 505.7284965515137; x_now [3, 107, 171, 188, 192, 209, 215]; Cells 958; Iter 44
N50; Ins 118; Time 71.07879900932312; MP_obj 515.760716047138; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 8491; Iter 39
N50; Ins 110; Time 2.2034761905670166; MP_obj 516.0; x_now [1, 2, 3, 4, 5, 166, 178]; Cells 1; Iter 1
N50; Ins 84; Time 133.2048749923706; MP_obj 495.7589368764311; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 12701; Iter 48
N50; Ins 43; Time 6.570265054702759; MP_obj 520.9243774414062; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 119; Iter 21
N50; Ins 16; Time 168.6355278491974; MP_obj 496.0885899066925; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 10084; Iter 59
N50; Ins 56; Time 94.23365688323975; MP_obj 508.126070022583; x_now [1, 2, 4, 31, 142, 175, 191]; Cells 4149; Iter 56
N50; Ins 79; Time 1371.249402999878; MP_obj 494.19723225338385; x_now [1, 2, 42, 66, 160, 168, 229]; Cells 18253; Iter 93
N50; Ins 110; Time 3.3741490840911865; MP_obj 516.0; x_now [1, 2, 3, 4, 5, 166, 178]; Cells 1; Iter 1
N50; Ins 118; Time 108.20001006126404; MP_obj 515.760716047138; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 8491; Iter 39
N50; Ins 142; Time 16.32920002937317; MP_obj 495.2566566467285; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 36
N50; Ins 16; Time 242.89162802696228; MP_obj 496.0885899066925; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 10084; Iter 59
N50; Ins 35; Time 31.650163888931274; MP_obj 505.7284965515137; x_now [3, 107, 171, 188, 192, 209, 215]; Cells 958; Iter 44
N50; Ins 41; Time 12.525284051895142; MP_obj 498.2392578125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 70; Iter 33
N50; Ins 43; Time 9.669672012329102; MP_obj 520.9243774414062; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 119; Iter 21
N50; Ins 56; Time 142.63169693946838; MP_obj 508.126070022583; x_now [1, 2, 4, 31, 142, 175, 191]; Cells 4149; Iter 56
N50; Ins 79; Time 2905.080849170685; MP_obj 494.19723225338385; x_now [1, 2, 42, 66, 160, 168, 229]; Cells 18253; Iter 93
N50; Ins 84; Time 206.75980591773987; MP_obj 495.7589368764311; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 12701; Iter 48
N50; Ins 84; Time 209.39082407951355; MP_obj 495.7589368764311; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 12701; Iter 48
----

N50; Ins 110; Time 2.2165729999542236; MP_obj 516.0; x_now [1, 2, 3, 4, 5, 166, 178]; Cells 1; Iter 1
N50; Ins 118; Time 71.70662498474121; MP_obj 515.760716047138; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 8491; Iter 39
N50; Ins 142; Time 10.883713960647583; MP_obj 495.2566566467285; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 36
N50; Ins 16; Time 166.14948987960815; MP_obj 496.0885899066925; x_now [1, 3, 115, 127, 186, 197, 211]; Cells 10084; Iter 59
N50; Ins 41; Time 8.573076009750366; MP_obj 498.2392578125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 70; Iter 33
N50; Ins 43; Time 6.568479061126709; MP_obj 520.9243774414062; x_now [1, 52, 83, 118, 121, 143, 183]; Cells 119; Iter 21
N50; Ins 56; Time 95.03494596481323; MP_obj 508.126070022583; x_now [1, 2, 4, 31, 142, 175, 191]; Cells 4149; Iter 56
N50; Ins 84; Time 135.23226594924927; MP_obj 495.7589368764311; x_now [1, 72, 105, 108, 159, 172, 220]; Cells 12701; Iter 48
N50; Ins 35; Time 21.563565969467163; MP_obj 505.7284965515137; x_now [3, 107, 171, 188, 192, 209, 215]; Cells 958; Iter 44
N50; Ins 79; Time 1373.0485939979553; MP_obj 494.19723225338385; x_now [1, 2, 42, 66, 160, 168, 229]; Cells 18253; Iter 93
