N50; Ins 41; β 0.95; Time 58.963200092315674; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 69.35222291946411; MP_obj 498.3642578125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 40; Iter 35
N50; Ins 41; β 0.95; Time 58.80185294151306; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 53.17336177825928; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 110; β 0.671; Time 37.17563986778259; MP_obj 516.0; x_now [1, 2, 3, 4, 5, 166, 178]; Cells 1; Iter 1
N50; Ins 142; β 0.475; Time 106.40774703025818; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 39
N50; Ins 41; β 0.95; Time 52.277493953704834; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 41; β 0.95; Time 52.524094104766846; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 142; β 0.475; Time 100.17347002029419; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 39
N50; Ins 142; β 0.475; Time 96.33746194839478; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 32
N50; Ins 142; β 0.475; Time 98.31112599372864; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 32

================Dec 1 after noon====================
N50; Ins 142; β 0.475; Time 97.32814002037048; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 32
N50; Ins 118; β 0.023; Time 937.4929418563843; MP_obj 515.7677624858916; x_now [2, 3, 110, 118, 124, 137, 179]; Cells 8391; Iter 25
N50; Ins 35; β 0.023; Time 111.72763419151306; MP_obj 505.79351806640625; x_now [3, 107, 171, 188, 192, 209, 215]; Cells 415; Iter 19
N50; Ins 41; β 0.95; Time 52.230868101119995; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 48; Iter 14
N50; Ins 142; β 0.475; Time 80.6948630809784; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 18
N50; Ins 142; β 0.475; Time 84.09019899368286; MP_obj 495.2566795349121; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 411; Iter 37
N50; Ins 142; β 0.475; Time 83.69546890258789; MP_obj 495.2566795349121; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 411; Iter 37
