N50; Ins 142; β 0.475; Time 85.54440212249756; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 85.90320992469788; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 84.74138712882996; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 83.20226383209229; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 84.0716199874878; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 85.1024808883667; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 85.66522407531738; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 84.5606300830841; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 85.14460182189941; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 142; β 0.475; Time 85.90801787376404; MP_obj 495.3098258972168; x_now [1, 2, 110, 124, 133, 174, 176]; Cells 413; Iter 23
N50; Ins 41; β 0.95; Time 61.021543979644775; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 51; Iter 21
N50; Ins 41; β 0.95; Time 61.20830297470093; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 79; Iter 18
N50; Ins 41; β 0.95; Time 61.40927600860596; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 79; Iter 18
N50; Ins 41; β 0.95; Time 61.16712689399719; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 79; Iter 18
N50; Ins 41; β 0.95; Time 62.745702028274536; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 79; Iter 18
N50; Ins 41; β 0.95; Time 59.3912079334259; MP_obj 498.361328125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 102; Iter 14
N50; Ins 41; β 0.95; Time 59.79880118370056; MP_obj 498.361328125; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 102; Iter 14
N50; Ins 41; β 0.95; Time 50.412238121032715; MP_obj 498.875; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 4; Iter 8
N50; Ins 41; β 0.95; Time 50.44315481185913; MP_obj 498.875; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 4; Iter 8
N50; Ins 41; β 0.95; Time 50.66952991485596; MP_obj 498.875; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 4; Iter 8
N50; Ins 41; β 0.95; Time 50.333898067474365; MP_obj 498.875; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 4; Iter 8
N50; Ins 41; β 0.95; Time 50.26672101020813; MP_obj 499.125; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 8; Iter 8
N50; Ins 41; β 0.95; Time 50.46676707267761; MP_obj 499.125; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 8; Iter 8
N50; Ins 41; β 0.95; Time 50.561542987823486; MP_obj 499.125; x_now [1, 59, 65, 101, 103, 147, 166]; Cells 23; Iter 8
N50; Ins 41; β 0.95; Time 53.38027501106262; MP_obj 498.5; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 52; Iter 10
N50; Ins 41; β 0.95; Time 53.130237102508545; MP_obj 498.5; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 52; Iter 10
N50; Ins 41; β 0.95; Time 54.30634689331055; MP_obj 498.46875; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 67; Iter 11
N50; Ins 41; β 0.95; Time 54.621176958084106; MP_obj 498.46875; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 67; Iter 11
N50; Ins 41; β 0.95; Time 58.61850309371948; MP_obj 498.390625; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 85; Iter 13
N50; Ins 41; β 0.95; Time 57.797701835632324; MP_obj 498.390625; x_now [1, 2, 65, 101, 147, 158, 166]; Cells 85; Iter 13
N50; Ins 41; β 0.95; Time 61.60841107368469; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 15
N50; Ins 41; β 0.95; Time 61.82835602760315; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 15
N50; Ins 41; β 0.95; Time 61.21481704711914; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 15
N50; Ins 41; β 0.95; Time 60.87797689437866; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 15
N50; Ins 118; β 0.023; Time 386.1211018562317; MP_obj 515.7677608169615; x_now [2, 3, 114, 118, 124, 137, 179]; Cells 8391; Iter 21
N50; Ins 41; β 0.95; Time 72.56737995147705; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 15
N50; Ins 41; β 0.95; Time 74.12448191642761; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 93; Iter 21
N50; Ins 41; β 0.95; Time 73.62406015396118; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 21
N50; Ins 41; β 0.95; Time 62.229676961898804; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 93; Iter 21
N50; Ins 41; β 0.95; Time 59.87558722496033; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 68.02489113807678; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 61.56356692314148; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 62.56567692756653; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 58.51604199409485; MP_obj 498.3759765625; x_now [1, 65, 101, 103, 147, 158, 166]; Cells 37; Iter 23
N50; Ins 41; β 0.95; Time 55.518523931503296; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 37; Iter 17
N50; Ins 41; β 0.95; Time 54.98505187034607; MP_obj 498.3759765625; x_now [1, 3, 65, 101, 147, 158, 166]; Cells 37; Iter 17
