N50_d30; Ins 16; Time 1.8001790046691895; MP_obj 292.0; LB 0.0; x_now [2, 215, 420, 545, 661]; Cells 1/1; Iter 1
N50_d30; Ins 16; Time 2.0261168479919434; MP_obj 267.0; LB 0.0; x_now [24, 215, 420, 545, 661]; Cells 1/1; Iter 2
N50_d30; Ins 16; Time 2.1424238681793213; MP_obj 260.0; LB 0.0; x_now [24, 404, 420, 545, 661]; Cells 1/1; Iter 3
N50_d30; Ins 16; Time 2.267874002456665; MP_obj 253.0; LB 0.0; x_now [2, 24, 545, 646, 661]; Cells 1/1; Iter 4
N50_d30; Ins 16; Time 3.614886999130249; MP_obj 249.0; LB 0.0; x_now [2, 24, 545, 646, 661]; Cells 2/2; Iter 5
N50_d30; Ins 16; Time 3.8058218955993652; MP_obj 249.0; LB 0.0; x_now [2, 24, 545, 646, 661]; Cells 4/4; Iter 6
N50_d30; Ins 16; Time 3.9712648391723633; MP_obj 249.0; LB 0.0; x_now [2, 24, 545, 646, 661]; Cells 8/8; Iter 7
N50_d30; Ins 16; Time 4.175628900527954; MP_obj 249.0; LB 0.0; x_now [2, 24, 545, 646, 661]; Cells 16/16; Iter 8
N50_d30; Ins 16; Time 4.461246013641357; MP_obj 249.0; LB 0.0; x_now [2, 19, 545, 646, 661]; Cells 32/32; Iter 9
N50_d30; Ins 16; Time 4.890498876571655; MP_obj 248.123046875; LB 0.0; x_now [2, 19, 545, 646, 661]; Cells 64/64; Iter 10
N50_d30; Ins 16; Time 5.71669602394104; MP_obj 247.96484375; LB 0.0; x_now [2, 19, 545, 646, 661]; Cells 128/128; Iter 11
N50_d30; Ins 16; Time 7.074246883392334; MP_obj 247.43896484375; LB 0.0; x_now [2, 19, 545, 646, 661]; Cells 256/256; Iter 12
N50_d30; Ins 16; Time 9.663264989852905; MP_obj 246.66748046875; LB 0.0; x_now [2, 19, 545, 646, 661]; Cells 512/512; Iter 13
N50_d30; Ins 16; Time 14.716171979904175; MP_obj 245.51007080078125; LB 0.81829833984375; x_now [2, 19, 545, 646, 661]; Cells 1020/1022; Iter 14
N50_d30; Ins 16; Time 24.66624093055725; MP_obj 244.5607147216797; LB 4.06549072265625; x_now [2, 19, 545, 646, 661]; Cells 2010/2027; Iter 15
N50_d30; Ins 16; Time 44.18038988113403; MP_obj 243.59893035888672; LB 11.700492858886719; x_now [2, 19, 545, 646, 661]; Cells 3884/3969; Iter 16
N50_d30; Ins 16; Time 81.77488994598389; MP_obj 242.8708152770996; LB 24.644004821777344; x_now [2, 19, 545, 646, 661]; Cells 7316/7627; Iter 17
N50_d30; Ins 16; Time 153.0660538673401; MP_obj 242.3311891555786; LB 42.230024337768555; x_now [2, 19, 545, 646, 661]; Cells 13416/14335; Iter 18
N50_d30; Ins 16; Time 289.4771099090576; MP_obj 241.93045353889465; LB 62.627477407455444; x_now [2, 19, 545, 646, 661]; Cells 24022/26346; Iter 19
N50_d30; Ins 16; Time 547.1934590339661; MP_obj 241.63341569900513; LB 83.92417562007904; x_now [2, 19, 545, 646, 661]; Cells 42188/47440; Iter 20
