1;0.3910048007965088;10;209.0;0;[ 0  1  2  3  4  5  6  7 25 29];1;1
2;0.8088157176971436;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];2;2
3;1.2417709827423096;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];4;4
4;1.7215328216552734;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];8;8
5;2.285947799682617;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];16;16
6;3.0417187213897705;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];32;32
7;4.157475709915161;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];64;64
8;6.03337287902832;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];128;128
9;9.354795694351196;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];256;256
10;15.617111682891846;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];512;512
11;27.81831669807434;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];1024;1024
12;51.60713481903076;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];2048;2048
13;89.09421372413635;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];2048;3072
14;150.36929774284363;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];4096;5120
15;262.16807198524475;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];8192;9216
16;431.1893057823181;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];8192;13312
17;714.1137506961823;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];16384;21504
18;1245.563580751419;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];32768;37888
19;2361.540496826172;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];65536;70656
I;1;0.39048123359680176;10;209.0;0;[ 0  1  2  3  4  5  6  7 25 29];1;1
I;2;0.8059561252593994;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];2;2
I;3;1.2357230186462402;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];4;4
I;4;1.713524341583252;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];8;8
I;5;2.279782295227051;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];16;16
I;6;3.0255203247070312;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];32;32
I;7;4.147252321243286;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];64;64
I;8;6.015603303909302;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];128;128
I;9;9.334709167480469;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];256;256
I;10;15.583250284194946;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];512;512
I;11;27.800154209136963;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];1024;1024
I;12;51.704795122146606;10;209.0;0.0;[ 0  1  2  3  4  5  6  7 25 29];2048;2048
I;13;89.21836519241333;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];2048;3072
I;14;151.0702052116394;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];4096;5120
I;15;263.49287128448486;10;209.0;104.5;[ 0  1  2  3  4  5  6  7 25 29];8192;9216
I;16;433.79286909103394;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];8192;13312
I;17;717.6270372867584;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];16384;21504
I;18;1259.4843771457672;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];32768;37888
I;19;2386.0488052368164;10;209.0;153.0;[ 0  1  2  3  4  5  6  7 25 29];65536;70656
