1;0.3819701671600342;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
2;0.7845118045806885;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1
3;1.1967060565948486;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2
4;1.647303819656372;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];4;4
5;2.1564390659332275;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];8;8
6;2.733048915863037;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];8;12
7;3.4195919036865234;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];16;20
8;4.3504958152771;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];32;36
9;5.970447063446045;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];64;68
10;8.06987476348877;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];64;100
11;11.34102177619934;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];128;164
12;17.02282214164734;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];256;292
13;27.441662788391113;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];512;548
14;47.24491596221924;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];1024;1060
15;86.16462516784668;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];2048;2084
16;165.58724093437195;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];4096;4132
17;336.3278350830078;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];8192;8228
18;709.0631651878357;10;131.40625;100.5;[  0   1   2   3   4   7  88  90 108 109];16384;16420
19;1240.020008802414;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];16384;24612
20;2318.801652908325;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];32768;40996
I;1;0.423663854598999;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
I;2;0.8705868721008301;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1
I;3;1.3254258632659912;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2
I;4;1.8146989345550537;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];4;4
I;5;2.3743088245391846;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];8;8
I;6;2.9859628677368164;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];8;12
I;7;3.733649969100952;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];16;20
I;8;4.7318220138549805;10;134.0;67.0;[  0   1   2   3   4   7  88  90 108 109];32;36
I;9;6.44009804725647;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];64;68
I;10;8.638922929763794;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];64;100
I;11;12.105891704559326;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];128;164
I;12;18.105509757995605;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];256;292
I;13;28.86092185974121;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];512;548
I;14;49.28435206413269;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];1024;1060
I;15;89.46383690834045;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];2048;2084
I;16;171.2254810333252;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];4096;4132
I;17;347.43885588645935;10;132.375;100.5;[  0   1   2   3   4   7  88  90 108 109];8192;8228
I;18;734.6323969364166;10;131.40625;100.5;[  0   1   2   3   4   7  88  90 108 109];16384;16420
I;19;1288.37415599823;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];16384;24612
I;20;2401.469006061554;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];32768;40996
