1;0.39481592178344727;10;205.0;0;[  0   1   2   3   4   5   6   7 102 137];1;1
2;0.8393127918243408;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];2;2
3;1.3318147659301758;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];4;4
4;1.8989067077636719;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];8;8
5;2.6505227088928223;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];16;16
6;3.7680819034576416;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];32;32
7;5.601489782333374;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];64;64
8;9.018480777740479;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];128;128
9;15.196692943572998;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];256;256
10;27.06755781173706;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];512;512
11;50.19247102737427;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];1024;1024
12;96.06102395057678;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];2048;2048
13;187.9405379295349;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];4096;4096
14;373.91936683654785;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];8192;8192
15;757.5517916679382;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];16384;16384
16;1567.2740547657013;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];32768;32768
17;3358.592136859894;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];65536;65536
I;1;0.4067988395690918;10;205.0;0;[  0   1   2   3   4   5   6   7 102 137];1;1
I;2;0.864365816116333;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];2;2
I;3;1.3598361015319824;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];4;4
I;4;1.9378840923309326;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];8;8
I;5;2.689084053039551;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];16;16
I;6;3.7842798233032227;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];32;32
I;7;5.575543165206909;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];64;64
I;8;8.755040168762207;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];128;128
I;9;14.681674003601074;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];256;256
I;10;26.361191034317017;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];512;512
I;11;49.17651891708374;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];1024;1024
I;12;94.64460706710815;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];2048;2048
I;13;185.21895790100098;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];4096;4096
I;14;368.871789932251;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];8192;8192
I;15;747.3773210048676;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];16384;16384
I;16;1546.1400909423828;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];32768;32768
I;17;3321.722301006317;10;205.0;0.0;[  0   1   2   3   4   5   6   7 102 137];65536;65536
