1;0.3860042095184326;10;153.0;0;[  0   1   2   3   4   5   6   7  29 246];1;1
2;0.8440279960632324;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];2;2
3;1.364603042602539;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];4;4
4;1.998500108718872;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];8;8
5;2.885143995285034;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];16;16
6;4.293973922729492;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];32;32
7;6.70983099937439;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];64;64
8;11.186409950256348;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];128;128
9;19.648525953292847;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];256;256
10;36.11771202087402;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];512;512
11;68.52971196174622;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];1024;1024
12;132.87701106071472;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];2048;2048
13;261.82811212539673;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];4096;4096
14;522.3466579914093;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];8192;8192
15;1054.7051920890808;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];16384;16384
16;2169.1164560317993;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];32768;32768
I;1;0.4035000801086426;10;153.0;0;[  0   1   2   3   4   5   6   7  29 246];1;1
I;2;0.867246150970459;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];2;2
I;3;1.3906831741333008;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];4;4
I;4;2.0301711559295654;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];8;8
I;5;2.917064905166626;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];16;16
I;6;4.304986238479614;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];32;32
I;7;6.6602771282196045;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];64;64
I;8;10.997709035873413;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];128;128
I;9;19.262469053268433;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];256;256
I;10;35.62404203414917;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];512;512
I;11;67.8324122428894;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];1024;1024
I;12;131.69824814796448;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];2048;2048
I;13;259.8831031322479;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];4096;4096
I;14;518.0878450870514;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];8192;8192
I;15;1046.2741041183472;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];16384;16384
I;16;2152.8751862049103;10;153.0;0.0;[  0   1   2   3   4   5   6   7  29 246];32768;32768
