1;0.38612914085388184;10;88.0;0;[0 1 2 3 4 5 6 7 8 9];1;1
2;0.839339017868042;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];2;2
3;1.358835220336914;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];4;4
4;1.9856202602386475;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];8;8
5;2.8464813232421875;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];16;16
6;4.209063291549683;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];32;32
7;6.519795179367065;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];64;64
8;10.724879264831543;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];128;128
9;18.801019191741943;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];256;256
10;34.43110132217407;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];512;512
11;65.01033020019531;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];1024;1024
12;126.03652811050415;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];2048;2048
13;247.96925616264343;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];4096;4096
14;494.99024629592896;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];8192;8192
15;997.3617379665375;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];16384;16384
16;2053.2799780368805;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];32768;32768
I;1;0.40309786796569824;10;88.0;0;[0 1 2 3 4 5 6 7 8 9];1;1
I;2;0.8697381019592285;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];2;2
I;3;1.3988580703735352;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];4;4
I;4;2.0279829502105713;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];8;8
I;5;2.911046028137207;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];16;16
I;6;4.26456880569458;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];32;32
I;7;6.568278789520264;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];64;64
I;8;10.779587984085083;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];128;128
I;9;18.86372208595276;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];256;256
I;10;34.7702910900116;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];512;512
I;11;65.83645296096802;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];1024;1024
I;12;128.15820693969727;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];2048;2048
I;13;252.41477489471436;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];4096;4096
I;14;503.87291288375854;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];8192;8192
I;15;1015.352933883667;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];16384;16384
I;16;2089.1614668369293;10;88.0;0.0;[0 1 2 3 4 5 6 7 8 9];32768;32768
