1;0.40175390243530273;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1
2;0.8257889747619629;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1
2;0.8467111587524414;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1
1;0.38968491554260254;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1;0;0
2;0.7939069271087646;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1;0;0
2;0.8151979446411133;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1;0;0
1;0.38674306869506836;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1;0;0
2;0.7929418087005615;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1;0;0
2;0.8144078254699707;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1;0;0
I;1;0.38229990005493164;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1;0;0;0
I;2;0.7869601249694824;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1;0;0;0
C;2;0.8091201782226562;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1;0;0;0
