1;0.4045860767364502;10;335.0;0;[  0   1   2   3   4   9  39  58 131 143];1;1
2;0.8085830211639404;10;243.0;0.0;[  0   5   9  39  58 131 143 223 281 309];1;1
3;1.2083961963653564;10;221.0;0.0;[  2   5   9 114 143 223 281 341 342 345];1;1
4;1.6166338920593262;10;221.0;0.0;[  2   5   9  40  58 114 143 223 281 309];1;1
5;2.0235660076141357;10;221.0;0.0;[  2   5   9  40 114 143 223 281 309 317];1;1
6;2.512423038482666;10;221.0;0.0;[  2   5   9  40 114 143 223 281 309 317];2;2
7;3.150636911392212;10;221.0;0.0;[  0   2   9  81 103 114 143 223 281 309];4;4
8;3.9144651889801025;10;216.375;55.0;[  0   2   8   9  40 114 143 223 281 309];6;7
8;4.177673101425171;10;216.375;215.5625;[  0   2   8   9  40 114 143 223 281 309];0;7
1;0.3989431858062744;10;335.0;0;[  0   1   2   3   4   9  39  58 131 143];1;1;0;0
2;0.8225679397583008;10;243.0;0.0;[  0   5   9  39  58 131 143 223 281 309];1;1;0;0
3;1.2368981838226318;10;221.0;0.0;[  2   5   9 114 143 223 281 341 342 345];1;1;0;0
4;1.664315938949585;10;221.0;0.0;[  2   5   9  40  58 114 143 223 281 309];1;1;0;0
5;2.0830700397491455;10;221.0;0.0;[  2   5   9  40 114 143 223 281 309 317];1;1;0;0
6;2.620421886444092;10;216.375;0.0;[  0   2   8   9  40  58 114 223 281 309];2;2;1;1
7;3.2756459712982178;10;216.37500000000003;0.0;[  0   2   8   9  40 114 143 223 281 309];4;4;3;2
7;3.4351840019226074;10;216.37500000000003;215.78232758620692;[  0   2   8   9  40 114 143 223 281 309];0;4;3;2
1;0.4025149345397949;10;335.0;0;[  0   1   2   3   4   9  39  58 131 143];1;1;0;0
2;0.8264200687408447;10;243.0;0.0;[  0   5   9  39  58 131 143 223 281 309];1;1;0;0
3;1.248831033706665;10;221.0;0.0;[  2   5   9 114 143 223 281 341 342 345];1;1;0;0
4;1.6860990524291992;10;221.0;0.0;[  2   5   9  40  58 114 143 223 281 309];1;1;0;0
5;2.1114718914031982;10;221.0;0.0;[  2   5   9  40 114 143 223 281 309 317];1;1;0;0
6;2.657320976257324;10;216.375;0.0;[  0   2   8   9  40  58 114 223 281 309];2;2;1;1
7;3.32110595703125;10;216.37500000000003;0.0;[  0   2   8   9  40 114 143 223 281 309];4;4;3;2
7;3.4788920879364014;10;216.37500000000003;215.78232758620692;[  0   2   8   9  40 114 143 223 281 309];0;4;3;2
