1;0.3981330394744873;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
2;0.9434731006622314;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;0.09201407432556152;1
3;1.5953412055969238;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3;0.2617497444152832;3
4;2.4042670726776123;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4;0.5687751770019531;6
5;3.2904891967773438;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5;0.91650390625;10
5;3.8731191158294678;10;170.0;169.75;[ 0  1  2  3  4  5  6  7  8 53];0;5;1.3560030460357666;15
1;0.40203022956848145;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
2;0.9342761039733887;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;0.0918128490447998;1
3;1.5915651321411133;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3;0.26630473136901855;3
4;2.4077022075653076;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4;0.5792133808135986;6
5;3.2907392978668213;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5;0.9327664375305176;10
6;4.286179304122925;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6;1.374621868133545;15
7;5.408373117446899;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7;1.909092903137207;21
8;6.650735139846802;10;170.0;166.8515625;[ 0  1  2  3  4  5  6  7  8 53];2;8;2.538428783416748;28
8;7.626975059509277;10;170.0;168.42578125;[ 0  1  2  3  4  5  6  7  8 53];0;9;3.2539777755737305;36
1;0.38129377365112305;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
2;0.9028759002685547;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;0.09282875061035156;1
3;1.5401039123535156;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3;0.2654693126678467;3
4;2.342810869216919;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4;0.5799977779388428;6
5;3.2064208984375;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5;0.9292094707489014;10
6;4.188023805618286;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6;1.3716802597045898;15
7;5.302217960357666;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7;1.906602382659912;21
8;6.524256706237793;10;170.0;166.8515625;[ 0  1  2  3  4  5  6  7  8 53];2;8;2.529329538345337;28
8;7.491206884384155;10;170.0;168.42578125;[ 0  1  2  3  4  5  6  7  8 53];0;9;3.2373602390289307;36
I;1;0.3967108726501465;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1;0;0
I;2;1.0350589752197266;10;170.0;168.0;[ 0  1  2  3  4  5  6  7  8 53];2;2;0.14311504364013672;1
C;2;1.4384410381317139;10;170.0;169.0;[ 0  1  2  3  4  5  6  7  8 53];0;3;0.4671661853790283;3
