,iiter,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
0,-1,1174.106807231903,10,285.4963024407625,283.1008221656084,[ 1  3 11 18 19 31 36 71 77 99],0,6928,174
1,-1,408.1651599407196,10,299.7841831445694,297.1957185268402,[  0   1   4  23  30  65 110 116 128 134],0,5067,200
2,-1,905.3741240501404,10,360.7914777994156,358.4589823484421,[  1  46  73  74  81  85 102 113 119 125],0,7349,20
3,-1,567.036966085434,10,445.17126020789146,442.1309434771538,[  0   1   2   3  28  43  55  98 100 117],0,4793,166
4,-1,442.1389708518982,10,292.71784991025925,290.24784845113754,[  0   1  67  68  80  86  98 103 105 111],0,5992,172
5,-1,1318.4679102897644,10,204.75249826908112,203.16587829589844,[  0   8  13  15  57  86  87 105 117 134],0,6478,4
6,-1,37.35115885734558,10,281.6597328186035,279.49693298339844,[  0   2  30  31  46  51  53  54  82 109],0,280,5
7,-1,0.8214051723480225,10,163.0,163.0,[  0   1   2   3  13  23  94  99 120 121],0,1,7
8,-1,1.4490461349487305,10,165.0,162.625,[  0   1   2   3   4  89  93  94 111 128],0,3,6
9,-1,28.627411127090458,10,193.09510040283203,191.60672760009768,[  1   2  14  19  80  86  90  91  95 128],0,180,2
10,-1,29.931716918945312,10,193.09510040283203,191.60672760009768,[  1   2  14  19  80  86  90  91  95 128],0,180,2
11,-1,1.146346092224121,10,313.0,312.4375,[  0   1   2   3  14  28  39  41  91 116],0,4,1
12,-1,320.42063879966736,10,242.09289824962616,240.49484598636627,[  0   4   9  58  84 115 119 123 128 142],0,2915,83
13,-1,2663.7603657245636,10,244.12656688690183,242.0928128361702,[  0   1  28  43  51  57  78 103 110 119],0,11797,107
14,-1,336.0030207633972,10,213.52652144432068,211.5256223678589,[  3  34  38  48  49  53  67 101 118 122],0,2289,241
15,-1,1.9052917957305908,10,215.0,215.0,[  0   2   3  18  30  36  42  46  47 121],0,6,89
16,-1,1.5357000827789309,10,224.8125,224.578125,[  0   1   8   9  31  55  57  59  87 102],0,5,8
17,-1,2.4526519775390625,10,131.314453125,131.3046875,[  0   1   2   3   4   7  88  90 108 109],0,6,9
18,-1,3.793529272079468,10,417.0,417.0,[  0   1   2  12  46  52  79  80  87 129],0,1,12
19,-1,1.2169270515441897,10,209.0,209.0,[ 0  1  2  3  6 15 25 28 29 75],0,9,10
20,-1,41.118396043777466,10,260.2687072753906,258.5378875732422,[ 0  3 21 23 45 53 65 66 67 77],0,288,11
