,iiter,emptycol,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
0,-1,,1.2697889804840088,10,342.0,340.5,[  1   2   3  32  34  36 104 105 111 124],0,1,12
1,-1,,0.4524848461151123,10,107.0,107.0,[  0   1   2   3   4   5   6   7  28 105],0,1,13
2,-1,,0.4116191864013672,10,105.0,105.0,[ 0  1  2  3  4  5  6  7  8 63],0,1,142
3,-1,,421.66416001319885,10,189.26226425170896,188.74969148635864,[  0   1  17  22  42  56  80  84 121 126],0,1025,140
4,-1,,0.4239120483398437,10,136.0,136.0,[  0   1   2   3   4   5   6   7   8 140],0,1,39
5,-1,,4.226777076721191,10,206.76562500000003,206.71875,[  8  24  26  39  45  51  76  94  98 118],0,4,11
6,-1,,11.072874069213867,10,178.97413635253906,178.9676856994629,[  0   2   3  29  35  45  46  99 127 128],0,32,10
7,-1,,0.4280779361724853,10,179.0,179.0,[  0   1   2   3   4   5   6  11  94 108],0,1,38
8,-1,,4.187052965164185,10,264.0,263.515625,[  1   8  20  32  44  56  61 111 119 120],0,7,141
9,-1,,54.96047496795654,10,232.32282811403277,232.261201441288,[ 0 10 16 24 27 36 47 73 74 89],0,222,14
10,-1,,1.4840550422668457,10,253.0,253.0,[  0   1   3  70  93 118 121 124 126 129],0,4,145
11,-1,,1778.433746099472,10,228.44783997535703,228.36464265733957,[  0   1   2   3   5  15  18  59  86 109],0,9413,28
12,-1,,0.8812980651855469,10,218.0,218.0,[  1  28  40  41  60  68  91  94  99 114],0,2,150
13,-1,,14.994730234146118,10,394.12646484375,393.64892578125,[  4  10  15  42  53  57  63  72  91 105],0,76,29
14,-1,,36.935272216796875,10,275.7143039703369,275.64944076538086,[  0   4   5  19  42  53  99 116 127 129],0,214,144
15,-1,,3.825860977172851,10,283.25,282.75,[  3  21  63  69  79  80 116 123 133 139],0,3,15
16,-1,,0.8230869770050049,10,227.0,226.0,[  0   1   2   3  22  45  49  70  85 105],0,1,17
17,-1,,11.705547094345093,10,212.97959899902344,212.95167541503903,[  0   2  41  76  87  89  91  98 112 118],0,46,146
18,-1,,0.90515398979187,10,347.0,347.0,[  0   1  21  35  36  64  81  89 103 114],0,1,147
19,-1,,0.8265249729156494,10,216.0,216.0,[ 0  1  2  8 64 78 79 88 91 94],0,1,16
20,-1,,0.4155499935150146,10,205.0,205.0,[ 0  1  2  3  4  5  6  7 21 39],0,1,134
21,-1,,0.8355808258056641,10,193.0,193.0,[  0   1   2   3   8  18  24  25  98 104],0,1,59
22,-1,,2.8305721282958984,10,173.0,173.0,[ 0  1  2 17 18 69 77 87 89 98],0,7,120
23,-1,,42.703134059906006,10,262.99997774721123,262.9243048157077,[  1   2  11  58  59  69  76  93  94 105],0,122,71
24,-1,,4.852560043334961,10,112.0,111.0,[  0   1  13  40  47  76  83 115 118 125],0,10,65
25,-1,,15.78470230102539,10,143.90625,143.5147705078125,[  0   3   4   5  56  60  82 104 122 125],0,100,64
26,-1,,9.263466119766235,10,273.9765625,273.912109375,[  0  20  22  23  37  42  77  99 115 124],0,35,70
27,-1,,18.49184799194336,10,280.5451829433441,280.4846086502075,[  0  15  19  25  26  33  38  99 105 107],0,70,109
28,-1,,0.837749719619751,10,168.0,168.0,[ 0  1  2  3 18 27 29 31 53 56],0,1,121
29,-1,,1.8233602046966553,10,166.0,166.0,[  0   1   2   3   4   5  21  88 104 109],0,4,58
30,-1,,0.4118587970733642,10,63.0,63.0,[ 0  1  2  3  4  5  6  7  8 19],0,1,135
31,-1,,9.12921380996704,10,301.0,300.0,[  1   2   3  47  56  86  87 104 123 125],0,55,99
32,-1,,1.3031091690063477,10,146.0,146.0,[  1   2  25  30  31  61  65  83  91 113],0,1,2
33,-1,,21.851339101791385,10,298.3180465698242,298.03560638427734,[  0   2  36  45  46  68  71 105 109 123],0,83,123
34,-1,,0.971574068069458,10,379.0,379.0,[ 0  1  2  3  4  5  6  7 24 35],0,1,137
35,-1,,17.897115230560303,10,299.9910717010498,299.008074760437,[ 0  1 10 11 25 31 48 49 72 90],0,59,66
36,-1,,35.9169499874115,10,237.69497108459473,237.51801109313965,[  1  43  46  62  83  98 120 121 122 131],0,167,72
37,-1,,3.128335237503052,10,291.0,290.625,[  1  30  34  49  50  64  86 103 119 134],0,3,73
38,-1,,0.4487979412078857,10,308.0,308.0,[ 0  1  2  3  4  5  6  7  8 93],0,1,67
39,-1,,19.963976860046387,10,223.0,223.0,[  0   1  20  27  30  52  68  83  92 121],0,103,136
40,-1,,2.780296087265014,10,297.0,297.0,[ 0  1  9 31 46 60 62 64 66 96],0,6,122
41,-1,,0.8499031066894531,10,141.0,141.0,[  0   1   2   3   4  16  66 101 116 130],0,1,3
42,-1,,156.07111811637878,10,178.14631843566897,177.21114921569824,[  3   5  19  22  32  82 112 127 132 138],0,567,98
43,-1,,2.462238073348999,10,291.15625,291.125,[  0  23  27  28  36  51  98 110 116 127],0,4,88
44,-1,,0.8384242057800293,10,298.0,298.0,[ 0  1  2  3  4  5  6 86 88 90],0,1,7
45,-1,,0.8361248970031738,10,267.0,267.0,[  0   1   5  48  94 102 108 113 131 136],0,1,63
46,-1,,15.507872104644775,10,339.86859130859375,339.2449951171875,[  0  35  51  52  55  73  75  88 113 118],0,49,77
47,-1,,82.84455299377441,10,312.1019358634949,311.4853587150574,[  0   1   2   5  23  38  70  95 124 142],0,418,126
48,-1,,16.9530029296875,10,289.2886962890625,288.4509582519531,[  0  27  37  41  45  46  66  81 106 114],0,84,132
49,-1,,1.221646070480347,10,251.0,250.5,[  0   1   2  58  60  73  76  85  94 100],0,1,133
50,-1,,1.7960729598999023,10,183.0,183.0,[  0   1   2   3   4   5   6  19  46 116],0,4,127
51,-1,,0.4180679321289062,10,93.0,93.0,[0 1 2 3 4 5 6 7 8 9],0,1,76
52,-1,,1.240797996520996,10,170.0,170.0,[  1  31  40  45  49  56  80 102 119 120],0,1,62
53,-1,,0.8266031742095947,10,150.0,149.0,[  0   1   2   3   4   5   6   7  89 109],0,1,6
54,-1,,4.32915186882019,10,533.58447265625,533.5830078125,[ 0  2  9 14 18 19 38 53 88 99],0,7,89
55,-1,,2.7093818187713623,10,214.265625,214.203125,[  0   1   2   3   4   5  18  93  98 114],0,5,4
56,-1,,0.4217028617858886,10,253.0,253.0,[ 0  1  2  3  4  5  6  7  8 54],0,1,74
57,-1,,15.02604913711548,10,235.72821044921875,235.01300048828125,[ 2 21 25 26 31 32 44 45 82 87],0,55,60
58,-1,,62.407861948013306,10,135.0,135.0,[  0   2   3   5  66  87  93 100 110 126],0,451,119
59,-1,,0.4882469177246094,10,275.0,275.0,[ 0  1  2  3  4  5  6  7  8 86],0,1,131
60,-1,,3.941182851791382,10,350.4375,348.875,[  3   4  14  35  52  75  77  90  98 105],0,9,48
61,-1,,2.418222188949585,10,225.0,225.0,[  0   1   2  15  19  41  48  89  94 102],0,4,125
62,-1,,1.2661190032958984,10,276.0,276.0,[  0   1   2  11  74  75  84  94 112 116],0,1,124
63,-1,,4.3563010692596436,10,161.0,161.0,[  1  14  28  44  51  65  71  72  80 134],0,8,49
64,-1,,1.3625009059906006,10,165.0,165.0,[ 0  1  3 13 14 18 31 47 79 85],0,4,130
65,-1,,39.55306100845337,10,312.35032653808594,312.2319793701172,[  0   2   9  20  34  35  50 104 112 122],0,138,118
66,-1,,2.225651979446411,10,215.0,214.8125,[  0   3  50  76  81  88  92  93  94 124],0,4,61
67,-1,,0.8533751964569092,10,157.0,157.0,[  0   1   2   3   4  93  96 105 106 121],0,1,75
68,-1,,14.39611291885376,10,269.79083251953125,269.61572265625,[  0   1   8  10  11  24  44  49 100 106],0,54,5
69,-1,,75.05026888847351,10,281.9359277486801,280.98868131637573,[  0   2   3  24  64  95 101 146 149 159],0,263,93
70,-1,,0.4203228950500488,10,131.0,131.0,[ 0  1  2  3  4  5  6  7  8 22],0,1,87
71,-1,,130.84098291397095,10,428.92045356333256,428.0286691188812,[  0   1  40  51  59  62  95 101 102 118],0,620,115
72,-1,,3.796434164047241,10,355.3720703125,355.345703125,[ 0 10 14 16 32 45 71 91 95 99],0,7,50
73,-1,,5.132120847702026,10,91.8828125,91.544921875,[ 0  1  2  3  4  5  6  7 55 73],0,15,129
74,-1,,2.2037949562072754,10,232.375,231.875,[  0   1   2   3  81  99 100 119 134 141],0,3,44
75,-1,,0.4094800949096679,10,43.0,43.0,[ 0  1  2  3  4  5  6  7  8 22],0,1,45
76,-1,,19.525117874145508,10,198.252140045166,197.9547996520996,[  0   4  18  21  30  53 113 127 128 137],0,86,128
77,-1,,0.8340580463409424,10,218.0,218.0,[  0   1   2   3  51  52  82  85  98 100],0,1,51
78,-1,,11.863627910614014,10,211.21044921875,211.208984375,[  0   1   4  11  12  13  30  90 106 120],0,58,79
79,-1,,0.4043440818786621,10,56.0,56.0,[  0   1   2   3   4   5   6  87  89 116],0,1,100
80,-1,,0.4143450260162353,10,113.0,113.0,[  0   1   2   3   4   5   7 103 122 130],0,1,114
81,-1,,0.4124159812927246,10,216.0,216.0,[ 0  1  2  3  4  5  6  7  8 64],0,1,9
82,-1,,6.396453142166138,10,197.52294921875,197.1220703125,[  0   3  20  27  28  54  86  97 114 122],0,12,92
83,-1,,4.571939945220947,10,268.0,267.5,[  4   6  13  69  71  91  95 100 102 126],0,1,84
84,-1,,0.9171209335327148,10,165.0,164.75,[ 0  1  2  3  4  5 22 36 50 80],0,2,90
85,-1,,104.95137977600098,10,137.6418777704239,137.00780452787876,[  1   6   7   9  18  45  47  85  99 137],0,478,102
86,-1,,5.06488299369812,10,263.0,263.0,[  1   2   3  19  33  43  48  62  72 105],0,4,116
87,-1,,0.4133219718933105,10,352.0,352.0,[  0   1   2   3   4   5  17  82  97 105],0,1,47
88,-1,,0.4302127361297607,10,204.0,204.0,[ 0  1  2  3  4  5  6  7 88 91],0,1,53
89,-1,,18.175291061401367,10,181.716796875,181.33203125,[  0   1   2  31  36  39  43  62 105 106],0,107,52
90,-1,,0.8289871215820312,10,493.0,492.5,[ 1 35 38 52 61 76 80 93 95 96],0,1,46
91,-1,,3.9567759037017822,10,420.0,419.5,[  0   2   4  15  25  39  46  56 105 113],0,12,117
92,-1,,6.635838031768799,10,276.0,276.0,[  0   3  15  16  17  22  38  91 111 124],0,10,103
93,-1,,2257.25945186615,10,322.08537919213995,321.7123177048052,[ 0  1  2 13 39 66 68 72 78 80],0,11462,91
94,-1,,0.4070799350738525,10,213.0,213.0,[  0   1   2   3   4   5   6   7   8 105],0,1,85
95,-1,,0.830711841583252,10,244.0,244.0,[  0   1   2  41  70  75  84 100 113 117],0,1,81
96,-1,,2.143338918685913,10,321.0,321.0,[ 0  5 15 19 45 52 54 83 95 97],0,2,95
97,-1,,0.4127929210662842,10,99.0,99.0,[ 0  1  2  3  4  5  6 39 49 52],0,1,42
98,-1,,0.4155499935150146,10,245.0,245.0,[ 0  1  2  3  4  5  6  7  8 75],0,1,107
99,-1,,2.7145490646362305,10,202.59375,201.9375,[  0   1  13  23  26  29  46  47  81 136],0,4,113
100,-1,,0.4075369834899902,10,128.0,128.0,[ 0  1  2  3  4  5  6  7  8 22],0,1,112
101,-1,,17.200428009033203,10,311.45782470703125,310.6273765563965,[  1   3   5  54  59  69  79 105 111 120],0,65,106
102,-1,,1.7134461402893066,10,706.0,706.0,[  2   3   6  20  31  32  37  51  56 109],0,2,57
103,-1,,4.258946180343628,10,306.0,306.0,[  0   2  60  63  87 118 127 131 132 136],0,11,43
104,-1,,0.8562960624694824,10,109.0,109.0,[ 0  1  2  3  4 35 38 44 82 88],0,1,94
105,-1,,7.209973096847534,10,221.0,219.8515625,[  0   1  42  63  65  73  76  92 100 107],0,10,80
106,-1,,0.8476948738098145,10,126.0,126.0,[  0   1   2   3   4   5   9  68 109 130],0,1,96
