,total_time_x,ObjVal_x,LB_x,Ins,OptGap_x,total_time_y,ObjVal_y,LB_y,OptGap_y,diff_LB_yminusx,diff_time_yminusx
0,1866.30,204.79,203.27,4.00,0.74,1312.18,204.75,203.17,0.77,-0.05,-554.12
1,578.25,242.13,239.82,83.00,0.95,323.08,242.09,240.49,0.66,0.28,-255.17
2,3.08,215.00,215.00,89.00,0.00,2.46,215.00,215.00,0.00,0.00,-0.62
3,303.57,445.20,442.17,166.00,0.68,680.23,445.17,441.40,0.85,-0.17,376.66
4,419.28,292.73,290.29,172.00,0.83,568.17,292.72,290.15,0.88,-0.05,148.89
5,1506.43,285.60,282.91,174.00,0.94,1176.21,285.50,283.10,0.84,0.07,-330.22
6,136.71,299.80,297.42,200.00,0.79,519.37,299.78,297.38,0.80,-0.01,382.66
7,763.85,213.57,211.91,241.00,0.78,352.64,213.53,211.53,0.94,-0.18,-411.21
,,,,,,,,,,,
,,,,,,,,,,-0.01,
