Status,iiter,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins,elapsedT,OptGap
I,1,0.0004608631134033,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,1,0.0075879096984862995,100.0
I,2,0.0080487728118896,10,313.0,0.0,[  0   1   2   3   4   5  14  41  91 116],1,1,1,0.0075480937957764,100.0
I,3,0.015596866607666,10,313.0,0.0,[  0   1   2   3  14  28  39  41  91 116],1,1,1,0.057361125946044894,100.0
I,1,0.0004892349243164,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,2,0.008013725280761701,100.0
I,2,0.0085029602050781,10,206.0,0.0,[  0   1   2   3   4   5  14  19  86 128],1,1,2,0.0076782703399657995,100.0
I,3,0.0161812305450439,10,206.0,0.0,[  0   1   2  14  19  86  91  95 105 128],1,1,2,0.007650852203369099,100.0
I,4,0.023832082748413,10,196.0,0.0,[  2  14  19  80  86  90  91  95 128 138],1,1,2,0.0106611251831055,100.0
I,5,0.0344932079315185,10,196.0,0.0,[  1   2  14  19  80  86  90  91  95 128],1,1,2,0.0608940124511719,100.0
I,6,0.0953872203826904,10,196.0,183.25,[  1   2  14  19  80  86  90  91  95 128],2,2,2,0.08979201316833499,6.505102040816327
I,7,0.1851792335510254,10,195.25,187.375,[  1   2  14  19  80  86  90  91  95 128],4,4,2,0.17228388786315912,4.0332906530089625
I,8,0.3574631214141845,10,193.625,189.6875,[  1   2  14  19  80  86  90  91  95 128],8,8,2,0.29942202568054205,2.0335700451904453
I,9,0.6568851470947266,10,193.359375,190.65625,[  1   2  14  19  80  86  90  91  95 128],14,15,2,0.4407689571380615,1.3979797979797979
I,10,1.097654104232788,10,193.28125,191.359375,[  1   2  14  19  80  86  90  91  95 128],20,25,2,0.6019430160522461,0.994341147938561
I,1,0.0004379749298095,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,5,0.0073058605194092,100.0
I,2,0.0077438354492187,10,318.0,0.0,[  0   1   2   3  31  54  82  86  93 109],1,1,5,0.0078349113464355,100.0
I,3,0.0155787467956542,10,318.0,0.0,[  0  30  31  40  46  54  82  86  93 109],1,1,5,0.0079081058502198,100.0
I,4,0.023486852645874,10,302.0,0.0,[  0  30  31  46  51  53  54  82  93 109],1,1,5,0.009320020675659204,100.0
I,5,0.0328068733215332,10,298.0,0.0,[  0  30  31  40  51  53  54  59  82 109],1,1,5,0.009181976318359299,100.0
I,6,0.0419888496398925,10,291.0,0.0,[  0  30  31  46  51  53  54  59  82 109],1,1,5,0.052750110626220696,100.0
I,7,0.0947389602661132,10,291.0,263.0,[  0  30  31  46  51  53  54  59  82 109],2,2,5,0.0781810283660889,9.621993127147768
I,8,0.1729199886322021,10,284.0,274.125,[  0  30  31  33  46  51  53  54  82 109],4,4,5,0.013800859451294,3.4771126760563384
I,9,0.1867208480834961,10,284.0,274.125,[  0   2  30  31  46  51  53  54  82 109],4,4,5,0.20129609107971191,3.4771126760563384
I,10,0.388016939163208,10,283.0,277.25,[  0   2  30  31  34  46  51  54  82 109],8,8,5,0.019826889038085882,2.0318021201413425
I,11,0.4078438282012939,10,283.0,277.25,[  0   2  30  31  46  51  54  67  82 109],8,8,5,0.020514011383056696,2.0318021201413425
I,12,0.4283578395843506,10,282.65625,277.25,[  0   2  30  31  46  51  53  54  82 109],8,8,5,0.2945871353149414,1.9126589275843007
I,13,0.722944974899292,10,282.4140625,278.765625,[  0   2  30  31  46  51  53  54  82 109],10,13,5,0.3229968547821045,1.2918752939223768
I,14,1.0459418296813965,10,282.28125,279.27734375,[  0   2  30  31  46  51  54  82  93 109],16,21,5,0.03777122497558594,1.064153658806598
I,15,1.0837130546569824,10,282.25,279.27734375,[  0  31  40  46  51  53  54  59  82 109],21,21,5,0.03972458839416526,1.0531997342781223
I,16,1.1234376430511477,10,282.25,279.27734375,[  0  30  31  46  51  53  54  59  82 109],21,21,5,0.03840637207031228,1.0531997342781223
I,17,1.16184401512146,10,282.017578125,279.27734375,[  0   2  31  40  46  51  53  54  82 109],21,21,5,0.8449697494506836,0.9716537505280728
I,1,0.0005021095275878,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,6,0.0076858997344971,100.0
I,2,0.0081880092620849,10,204.0,0.0,[  0   1   2   3   4   5   6   7  94 111],1,1,6,0.0069632530212402,100.0
I,3,0.0151512622833251,10,187.0,0.0,[  0   1   2   3   4  89  93  94 111 128],1,1,6,0.006651878356933599,100.0
I,4,0.0218031406402587,10,165.0,0.0,[  0   1   2   3   4  89  93  94 111 128],1,1,6,0.060961008071899504,100.0
I,5,0.0827641487121582,10,165.0,161.25,[  0   1   2   3  89  93  94  95 111 128],2,2,6,0.0741279125213623,2.272727272727273
I,1,0.0004611015319824,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,7,0.0074927806854248,100.0
I,2,0.0079538822174072,10,298.0,0.0,[  0   1   2   3   4  13  94  99 120 121],1,1,7,0.0074131488800049,100.0
I,3,0.0153670310974121,10,163.0,0.0,[  0   1   2   3  13  23  94  99 120 121],1,1,7,0.0199649333953857,100.0
I,1,0.0004529953002929,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,8,0.008141756057739301,100.0
I,2,0.0085947513580322,10,227.0,0.0,[ 0  1  2  3  4  5  6  7  9 55],1,1,8,0.006970167160034199,100.0
I,3,0.0155649185180664,10,227.0,0.0,[  0   1   2   8   9  31  55  59  87 102],1,1,8,0.0585880279541015,100.0
I,4,0.0741529464721679,10,227.0,219.25,[  0   1   2   8   9  31  55  59  87 102],2,2,8,0.04587578773498541,3.4140969162995596
I,5,0.1200287342071533,10,224.8125,223.125,[  0   1   8   9  31  55  57  59  87 102],2,3,8,0.09160923957824708,0.7506255212677231
I,1,0.0004820823669433,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,9,0.0086319446563721,100.0
I,2,0.0091140270233154,10,134.0,0.0,[  0   1   2   3   4   5   6   7   8 109],1,1,9,0.007277011871337899,100.0
I,3,0.0163910388946533,10,134.0,0.0,[  0   1   2   3   4   7  88  90 108 109],1,1,9,0.06303691864013669,100.0
I,4,0.07942795753479,10,134.0,125.25,[  0   1   2   3   4   7  88  90 108 109],2,2,9,0.0531091690063477,6.529850746268656
I,5,0.1325371265411377,10,132.375,129.625,[  0   1   2   3   4   7  88  90 108 109],2,3,9,0.0534298419952392,2.0774315391879132
I,6,0.1859669685363769,10,131.40625,131.0,[  0   1   2   3   4   7  88  90 108 109],2,4,9,0.04596209526062009,0.3091557669441141
I,1,0.0006983280181884,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,10,0.0085349082946778,100.0
I,2,0.0092332363128662,10,209.0,0.0,[ 0  1  2  3  4  5  6  7 25 29],1,1,10,0.0657429695129394,100.0
I,3,0.0749762058258056,10,209.0,204.5,[ 0  1  2  3  4  5  6  7 25 29],2,2,10,0.0368480682373047,2.15311004784689
I,4,0.1118242740631103,10,209.0,206.75,[ 0  1  2  3  4  5  6  7 25 29],2,3,10,0.03683614730834961,1.076555023923445
I,1,0.0004510879516601,10,1000000.0,0.0,[0 1 2 3 4 5 6 7 8 9],1,1,11,0.0079169273376465,100.0
I,2,0.0083680152893066,10,310.0,0.0,[ 0  1  2  3  4  5 21 23 45 66],1,1,11,0.007941961288452098,100.0
I,3,0.0163099765777587,10,310.0,0.0,[ 0  1  3 21 23 27 37 45 65 66],1,1,11,0.009960174560546903,100.0
I,4,0.0262701511383056,10,301.0,0.0,[ 0  3 13 21 23 27 37 45 53 66],1,1,11,0.0106289386749268,100.0
I,5,0.0368990898132324,10,294.0,0.0,[ 3 13 23 27 37 45 53 66 67 77],1,1,11,0.008995056152343701,100.0
I,6,0.0458941459655761,10,281.0,0.0,[ 0  3 13 21 27 45 53 66 70 77],1,1,11,0.011606931686401395,100.0
I,7,0.0575010776519775,10,275.0,0.0,[ 0  3 13 21 27 45 53 65 66 77],1,1,11,0.0638759136199951,100.0
