Status,iiter,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins,elapsedT,OptGap
I,1,0.3941812515258789,10,170.0,0.0,[ 0  1  2  3  4  5  6  7  8 53],1,1,3,0.5003798007965088,100.0
I,2,0.8945610523223877,10,170.0,168.0,[ 0  1  2  3  4  5  6  7  8 53],2,2,3,0.08438491821289074,1.1764705882352942
I,1,0.3851120471954345,10,205.0,0.0,[  0   1   2   3   4   5   6   7 102 137],1,1,5,0.4792978763580323,100.0
I,2,0.8644099235534668,10,205.0,201.5,[  0   1   2   3   4   5   6   7 102 137],2,2,5,0.0860280990600586,1.707317073170732
I,1,0.3869638442993164,10,386.0,0.0,[  0   1   2   3   4  14  33  55 107 171],1,1,6,0.4064021110534668,100.0
I,2,0.7933659553527832,10,386.0,0.0,[  0   5  14  33  55 107 171 205 209 214],1,1,6,0.4134969711303711,100.0
I,3,1.2068629264831543,10,373.0,0.0,[  4  14  33  55  86 107 171 205 209 214],1,1,6,0.4360349178314209,100.0
I,4,1.6428978443145752,10,357.0,0.0,[  0   4  14  15  55  86 171 199 209 214],1,1,6,0.46490001678466797,100.0
I,5,2.107797861099243,10,352.0,0.0,[  2   4  14  15  55  86 171 199 209 214],1,1,6,0.46448516845703125,100.0
I,6,2.5722830295562744,10,344.0,0.0,[  0   4  14  15  33  86 107 171 209 214],1,1,6,0.419658899307251,100.0
I,7,2.9919419288635254,10,343.0,0.0,[  0   4  14  15  33  86 107 171 209 214],1,1,6,0.5255200862884521,100.0
I,8,3.5174620151519775,10,339.0,327.25,[  4  14  15  33  86 107 110 171 209 214],2,2,6,0.47326588630676225,3.466076696165192
I,9,3.99072790145874,10,331.0,327.25,[ 14  15  33  86 100 107 111 171 209 214],2,2,6,0.19120597839355513,1.1329305135951662
I,1,0.3942642211914062,10,182.0,0.0,[  0   1   2   3   4   5   6   7 114 212],1,1,9,0.40691876411437994,100.0
I,2,0.8011829853057861,10,182.0,0.0,[  0   1   2   3 112 114 141 164 203 212],1,1,9,0.0317072868347168,100.0
I,1,0.3851420879364013,10,152.0,0.0,[  0   1   2   3   4   5   6   7  71 140],1,1,10,0.39704489707946783,100.0
I,2,0.7821869850158691,10,152.0,0.0,[  0   1   2   3   4   6  66  71 139 140],1,1,10,0.4896979331970215,100.0
I,3,1.2718849182128906,10,143.25,120.75,[  0   1   2   3   4   6  66  71 139 140],2,2,10,0.531092166900635,15.706806282722512
I,4,1.8029770851135256,10,143.25,128.0,[  0   1   2   3   4   6  66  71 139 140],4,4,10,0.5948238372802732,10.645724258289704
I,5,2.397800922393799,10,142.40625,133.625,[  0   1   2   3   4   6  66  71 139 140],6,7,10,0.6794250011444092,6.1663375027430325
I,6,3.077225923538208,10,141.6484375,137.015625,[  0   1   2   3   4   6  66  71 139 140],8,11,10,0.7322671413421631,3.2706414428327175
I,7,3.809493064880371,10,141.037109375,139.107421875,[  0   1   2   3   4   6  66  71 139 140],10,16,10,0.41947174072265625,1.3682125991884893
I,1,0.3826119899749756,10,246.0,0.0,[  0   1   2   3   4   5   6   7  74 199],1,1,11,0.4015469551086426,100.0
I,2,0.7841589450836182,10,246.0,0.0,[  0   1   2  74 198 199 204 213 216 229],1,1,11,0.5059037208557129,100.0
I,3,1.290062665939331,10,246.0,195.75,[  0   1   2  74 198 199 204 213 216 229],2,2,11,0.4950520992279053,20.426829268292682
I,4,1.7851147651672363,10,246.0,220.75,[  2  71  74  81  88 199 216 248 249 250],2,3,11,0.4063601493835449,10.264227642276422
I,5,2.1914749145507812,10,246.0,220.75,[  2  71  74  81 102 112 198 199 246 248],3,3,11,0.4136538505554199,10.264227642276422
I,6,2.605128765106201,10,246.0,220.75,[  2  71  72  74  81 102 198 199 202 247],3,3,11,0.4091179370880127,10.264227642276422
I,7,3.014246702194214,10,246.0,220.75,[  2  38  71  72  74  81 102 199 202 216],3,3,11,0.44274115562438965,10.264227642276422
I,8,3.4569878578186035,10,246.0,220.75,[  2  38  71  74  81  88 102 198 199 202],3,3,11,0.8714959621429443,10.264227642276422
I,9,4.328483819961548,10,241.875,229.0,[  2  70  71  72  74  88 102 112 198 199],6,6,11,0.41938304901123047,5.322997416020671
I,10,4.747866868972778,10,241.375,229.0,[  2  38  71  72  74  88 102 112 198 199],6,6,11,0.42887401580810547,5.126877265665458
I,11,5.176740884780884,10,240.375,229.0,[  2  38  71  72  74  88 102 112 198 199],6,6,11,0.859961986541748,4.732189287571503
I,12,6.036702871322632,10,240.375,236.5,[  2  38  71  72  74  88 102 112 199 216],8,10,11,0.4458320140838623,1.6120644825793031
I,1,0.3874440193176269,10,219.0,0.0,[  0   1   2   3   4   5   6  46 184 219],1,1,12,0.46680998802185064,100.0
I,2,0.8542540073394775,10,219.0,0.0,[  0   1   2  44  46  67 107 142 184 219],1,1,12,0.42509102821350075,100.0
I,3,1.2793450355529783,10,219.0,0.0,[  1  29  44  46  67 107 184 209 210 219],1,1,12,0.4186558723449709,100.0
I,4,1.6980009078979492,10,219.0,0.0,[  1  29  44  46  67 107 145 184 209 219],1,1,12,0.42013120651245117,100.0
I,5,2.1181321144104004,10,219.0,0.0,[  1  29  44  46 107 145 182 184 209 219],1,1,12,0.547961950302124,100.0
I,6,2.6660940647125244,10,214.25,134.0,[  1  29  44  46 107 145 160 182 184 219],2,2,12,0.6738681793212891,37.45624270711785
I,7,3.3399622440338135,10,214.25,164.875,[  1  29  44  46 107 145 160 182 184 219],4,4,12,0.8357617855072021,23.045507584597434
I,8,4.175724029541016,10,209.09375,179.59375,[  1  29  44  46 107 145 160 182 184 219],8,8,12,1.0824940204620361,14.108503960544013
I,9,5.258218050003052,10,204.828125,188.96875,[  1  29  44  46 107 145 148 160 184 209],12,14,12,1.9272749423980713,7.742772141276985
I,10,7.185492992401123,10,202.162109375,196.015625,[  1   4  29  44  46 107 145 160 184 209],20,24,12,2.6154949665069562,3.04037408098003
I,11,9.80098795890808,10,201.515625,198.68359375,[  1   3  29  44  46 107 145 160 184 209],28,38,12,2.4875409603118914,1.4053655888966428
I,1,0.4206330776214599,10,418.0,0.0,[  0   1   2   3   4  67 102 125 153 155],1,1,13,0.4477801322937012,100.0
I,2,0.8684132099151611,10,418.0,0.0,[  0   1  67  68 102 125 131 153 155 158],1,1,13,0.45986270904541016,100.0
