Instance,iteration,time,budget,Obj,interdiction
1,1,0.124714136,2,163,[0 1]
1,2,42.17105103,2,163,[0 1]
1,3,77.70317316,2,218,[  23 1515]
1,4,80.29138899,2,197.1943359,[1515 2247]
1,5,82.93993711,2,193.3637695,[1515 2247]
1,6,152.5827761,2,192.5819092,[1515 2247]
1,7,272.368669,2,192.541748,[1515 2247]
1,8,503.6127529,2,192.5125122,[1515 2247]
1,9,949.9057763,2,197.1943359,[  23 2247]
1,10,983.0485461,2,194.9875031,[  23 2247]
1,11,1881.867946,2,194.4635773,[  23 2247]
1,12,3424.534329,2,194.1081047,[  23 2247]
1,1,0.114214897,20,163,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19]
1,2,41.50889778,20,163,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19]
1,3,77.27418494,20,295,[  23 1515 2247 2431 2945 2946 2947 2948 2949 2950 2951 2952 2953 2954 2955 2956 2957 2958 2959 2960]
1,4,79.85177183,20,292.8881836,[   0    1    2   23  157  159  177  842 1002 1321 1515 1598 1600 1707 1739 1777 2247 2431 2955 2960]
1,5,82.52422571,20,242.8364258,[   0    1    2   23  157  159  177  842 1002 1321 1515 1598 1600 1707 1739 1777 2247 2431 2955 2960]
1,6,153.2151408,20,242.7529297,[   0    1    2   23  157  159  177  842 1002 1321 1515 1598 1600 1707 1739 1777 2247 2431 2955 2960]
1,7,294.1286609,20,242.635376,[   0    1    2   23  157  159  177  842 1002 1321 1515 1598 1600 1707 1739 1777 2247 2431 2955 2960]
1,8,576.7352116,20,242.3287811,[   0    1    2   23  157  159  177  842 1002 1321 1515 1598 1600 1707 1739 1777 2247 2431 2955 2960]
1,9,1145.389592,20,241.9388657,[   0    1    2   23  157  159  173  177  842 1002 1321 1515 1598 1600 1659 1707 1777 2247 2431 2955]
