Instance,iteration,time,budget,Obj,interdiction
1,1,0.446684122,2,222,[1515 2247]
1,2,1.027966261,2,198,[1515 2247]
1,3,2.055484295,2,198,[1515 2247]
1,4,3.674544096,2,198,[1515 2247]
1,5,6.403938055,2,198,[1515 2247]
1,6,11.53557229,2,198,[  23 2247]
1,7,12.24566126,2,197.359375,[  23 2247]
1,8,21.77269816,2,196.3984375,[  23 2247]
1,9,38.65071511,2,195.9179688,[  23 2247]
1,10,68.83932996,2,195.609375,[  23 2247]
1,11,122.5162191,2,195.2783203,[  23 2247]
1,12,224.1739502,2,195.0083008,[  23 2247]
1,13,422.4963253,2,194.824707,[  23 2247]
1,14,804.9237092,2,194.600708,[  23 2247]
1,15,1546.27278,2,194.3223724,[  23 2247]
1,16,2976.281765,2,194.0235367,[  23 2247]
1,1,0.422870159,20,295,[   0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   23 1515 2247 2431 2955]
1,2,0.956854105,20,295,[   0    1    2    3    4    5    6    7    8    9   10   23  159 1515 1598 1659 1777 2247 2431 2955]
1,3,1.496739149,20,295,[   0    1    2    3    4    5    6    7    8   23  159 1515 1598 1600 1659 1712 1777 2247 2431 2955]
1,4,2.03738904,20,295,[   0    1    2   23  159 1507 1515 1598 1600 1636 1659 1712 1777 1805 2247 2358 2389 2431 2465 2955]
1,5,2.576990128,20,295,[   0   23  159 1507 1515 1598 1600 1609 1636 1659 1712 1777 1805 2247 2358 2389 2431 2465 2926 2955]
1,6,3.948900223,20,292.25,[   0   23  159 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2389 2431 2465 2926 2955]
1,7,6.114798069,20,292.25,[   0   23  159 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2389 2431 2465 2926 2955]
1,8,10.13200688,20,292.25,[   0   23  159  960 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2431 2926 2940 2943 2955]
1,9,11.41521621,20,292.25,[   0   23  159  161  960 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2431 2926 2955]
1,10,19.65180612,20,292.25,[   0   23  159  161  960 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2431 2926 2955]
1,11,35.68774605,20,291.2421875,[   0   23  159  161  989 1505 1507 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2431 2926 2955]
1,12,67.58992219,20,291.1699219,[   0   23  159  960 1505 1506 1515 1598 1600 1609 1659 1712 1756 1777 2247 2389 2431 2465 2926 2955]
1,13,74.65791798,20,291.1699219,[   0   23  159  989 1505 1506 1515 1598 1600 1609 1659 1712 1756 1777 2247 2358 2389 2431 2926 2955]
