,Unnamed: 0,num_cases,total_time,b,ObjVal,x_sol,Ins,N
0,0,50000,220.55894708633423,10,321.3590026737531,[  1   2  37  38  39  50  53 176  34  69],5,30
1,1,50000,102.0579628944397,10,687.7823204822298,[  0   2   3   4  38  67 153  25  52  98],10,30
2,2,50000,29.517395973205566,10,397.0192235112109,[  2   3   4   5   7 152  91 126 132 159],4,30
3,3,50000,426.6875138282776,10,413.608609989327,[  2   4   6  45  93 100 157 162  62 148],6,30
4,4,50000,26.97266721725464,10,388.0,[  0   1   2   3   4   5   9 133 164 156],7,30
5,5,50000,66.58857488632202,10,275.0000000000001,[  0   1   2   3   4  63  79 141  84  99],3,30
6,6,50000,119.02694988250732,10,464.0182282494324,[  0   1   2   3   4  17  55 143 119 110],2,30
7,7,50000,44.055129051208496,10,564.1545122953179,[  0   1   2   3  24  25  63  85  32 139],1,30
8,8,50000,63.36914014816284,10,371.11925323129657,[  0   3 127 134 161 163  95 146 155 151],9,30
9,9,50000,28.92828798294067,10,330.0,[  0   1   2   3   4   5  75 172  39  54],8,30
10,10,50000,331.7544219493866,10,458.1843455163062,[  0  50  53  71  25  48  36 308 228 232],9,40
11,11,50000,68.99215984344482,10,584.9936034355391,[  0   1   2   3  39  40  44 225 210 211],8,40
12,12,50000,324.68220710754395,10,387.4948233323958,[  2   8  60  61  81 169 170 153  65 124],5,40
13,13,50000,555.2025089263916,10,334.42142946464605,[  2   4  29  49  93 116 131 250 274 243],4,40
14,14,50000,199.3356490135193,10,264.0831066996831,[  3   5   9  10 118 236 125 292 250 122],6,40
15,15,50000,37.73014712333679,10,168.00000000000003,[  0   1   2   3   4   5 234 200 260 274],7,40
16,16,50000,288.8194110393524,10,454.8072028371786,[  1   2   6  50  60 155 157 135 177 139],3,40
17,17,50000,250.62892627716064,10,497.0553885538858,[  0   2   4  57 170 253 272 289 299 165],2,40
18,18,50000,502.9217827320099,10,509.2408418941675,[  0   1  40  90 320 277 205 243  59 254],1,40
19,19,50000,286.9088032245636,10,486.3949457596668,[  0   1   5  17 106 292 174 234 249 299],10,40
20,20,50000,204.7349419593811,10,204.00463403481064,[  0   1   2   3   4   5  10  45 314 452],7,50
21,21,50000,130.15232801437378,10,276.00053164959917,[  0   1   2   3   4  22  26 436 417 448],6,50
22,22,50000,860.5580668449402,10,358.0424430834377,[  0   1   6  16  43 159 273 347 164 420],4,50
23,23,50000,203.97103810310364,10,531.0000000000001,[  0   1   2   3   4   5 156  32 120 381],5,50
24,24,50000,629.4655501842499,10,276.7152603617831,[  0   2  11 314   9 447 149 300 437 375],1,50
25,25,50000,448.54650378227234,10,304.2441906829076,[  1  49  51  89 258 265 388 344 323 155],2,50
26,26,50000,228.59318590164185,10,361.00000000000006,[  0   2   3   4   5   6  50  16 122 167],3,50
27,27,50000,127.32628107070924,10,168.0,[  1   2   3 144 148 201 137 232 105 119],8,50
28,28,50000,911.0623941421508,10,353.5170180371256,[  1   4  77 128 244 283 352 427 270 472],9,50
29,29,50000,1075.1683039665222,10,337.7820200948955,[ 39  59  63  66  68  73 512 387 350 102],10,50
30,30,50000,314.9202060699463,10,331.1876422290518,[  3  71 108  14  35 145 168  31  85 179],11,30
31,31,50000,304.27364683151245,10,417.3697178828818,[  1   4  61  42  20  27  85 148 110 143],12,30
32,32,50000,54.71890997886658,10,112.0354374453577,[  0   1   2   3   4   5   6  17  84 103],13,30
33,33,50000,302.78809905052185,10,253.9969289279073,[  1   3   4   5  29 147  46 163 126 141],14,30
34,34,50000,180.01596903800964,10,391.4055762956784,[  0  79 103 104 122 129 168 141 112 117],15,30
35,35,50000,170.43404173851013,10,416.28466139667086,[  0   2  37  90 133 110 162  99  69  93],16,30
36,36,50000,122.57777905464172,10,366.1329153729855,[  1   3   4  83  91 149 176 153 193  65],17,30
37,37,50000,97.75295782089232,10,172.00000000000006,[  0   1  53  54  55  56 124 125  81  91],18,30
38,38,50000,37.91639304161072,10,458.61798823813575,[ 0  1  2  4  5  6  7 42 75 49],19,30
39,39,50000,277.7092008590698,10,331.62911931791797,[  0   1   4  52 129 130 115 105 201 183],20,30
