,num_cases,total_time,b,ObjVal,x_sol,Ins,N
0,5000,30.51728916168213,10,227.02005137103825,[  0   5   8  12 287 146 154 212 118  96],2,50
1,5000,15.615839004516602,10,216.36570362912963,[  0   2   8   9 114 223 309  40 281 143],6,50
2,5000,22.221768856048584,10,144.99999999999358,[  0   1  21  57  62  43  44 156  99  92],7,50
3,5000,25.766342878341675,10,323.0000000000071,[  0   4  38  42 317 265 345 216 278 330],10,50
4,5000,8.248065710067749,10,251.99999999998792,[  0   1   2   3   4   5   6  81 141 210],13,50
5,5000,6.806941986083984,10,101.99999999999348,[  0   1   2   3   4   5   6 206 222 193],14,50
6,5000,18.453526973724365,10,212.82760828167244,[  0   1 129 172 174 104 212 315 291 339],15,50
7,5000,16.211724042892456,10,153.00000000000782,[  0   1   2   3   4   6  29 311 246 390],16,50
8,5000,9.608599662780762,10,297.9999999999736,[  0   1   2   3   4  20  21  22  27 271],17,50
9,5000,9.056881189346312,10,88.00000000000648,[  0   1   2   3   4   5   6   7 351 365],21,50
10,5000,133.22190380096436,10,276.9619591746755,[  0   1   3  60 319  21 178 309 276 144],18,50
11,5000,142.88787603378296,10,279.12623943211656,[  0   1  23  33 172 271 102 183 300 259],26,50
12,5000,69.46734499931335,10,314.98746396112995,[  5 214 299 308 206  37  38 115 202 291],30,50
13,5000,70.02656888961792,10,171.5332695692163,[  8 335 339 340 360 233  79 288  81  85],46,50
14,5000,94.8332781791687,10,210.800341098916,[  2   8 229 270 273   9 285 302 327 309],73,50
15,5000,68.6190619468689,10,189.00000000001216,[  0   7 205 248 264 413 113 327 397  72],93,50
16,5000,83.5342710018158,10,171.51498655984284,[  0  26 193 181 182 163 211 337  98  69],98,50
17,5000,55.16088080406189,10,245.21745198364883,[143 167 218 219 162 197 244 293 138 273],110,50
18,5000,127.92302203178406,10,232.32329676637872,[  0   5  55 103 104 375 222 182 233 328],113,50
19,5000,23.08869457244873,10,153.0552686550482,[  0  21  22  11  12 112  62  63 263 294],122,50
20,5000,162.47280979156494,10,182.27054829484433,[  1   7  95 100 219 257 357 390 113 397],1,50
21,5000,73.7563488483429,10,184.1499961260855,[  1   5  10  50  51 116 124 105 134 288],3,50
22,5000,210.57340908050537,10,203.4334125828461,[  0   1   4 111  63 177 308 198 211 357],4,50
23,5000,86.69097185134888,10,312.09778821744504,[  4 220 226 296 126 264 373 164 177 310],5,50
24,5000,34.657955169677734,10,237.74583686268417,[  0   1   3 159 195 244  17 234 100 317],8,50
25,5000,292.2811460494995,10,336.6341409663712,[  0   2  95 109 110 203  90 124 154 329],9,50
26,5000,82.52622604370117,10,247.07684342196865,[  0  31 173 152  72 161 276 104 181 338],11,50
27,5000,31.7007999420166,10,176.84879780640802,[  0 111 112 113 183 210 362 151 248 175],12,50
28,5000,50.774195194244385,10,316.27501272984443,[  5 360 158 118 341 286 256 258 266 211],19,50
29,5000,57.46378016471863,10,244.01621129492665,[  1   2   7  41  69  96 239 290 249 223],20,50
