,N,id,cat
0,30,1,E
1,30,2,E
2,30,5,E
3,30,6,E
4,30,7,E
5,30,8,E
6,30,9,E
7,30,10,E
8,30,11,E
9,30,12,E
10,30,4,M
11,30,20,M
12,30,83,M
13,30,99,M
14,30,107,M
15,30,166,M
16,30,172,M
17,30,174,M
18,30,200,M
19,30,241,M
20,30,3,H
21,30,35,H
22,30,36,H
23,30,37,H
24,30,52,H
25,30,63,H
26,30,64,H
27,30,150,H
28,30,282,H
29,30,319,H
30,40,1,E
31,40,3,E
32,40,5,E
33,40,6,E
34,40,7,E
35,40,9,E
36,40,10,E
37,40,11,E
38,40,12,E
39,40,13,E
40,40,4,M
41,40,8,M
42,40,16,M
43,40,27,M
44,40,33,M
45,40,36,M
46,40,37,M
47,40,48,M
48,40,64,M
49,40,68,M
50,40,2,H
51,40,14,H
52,40,18,H
53,40,22,H
54,40,24,H
55,40,38,H
56,40,39,H
57,40,40,H
58,40,56,H
59,40,76,H
60,50,2,E
61,50,6,E
62,50,7,E
63,50,10,E
64,50,13,E
65,50,14,E
66,50,15,E
67,50,16,E
68,50,17,E
69,50,21,E
70,50,18,M
71,50,26,M
72,50,46,M
73,50,73,M
74,50,93,M
75,50,98,M
76,50,110,M
77,50,113,M
78,50,122,M
79,50,124,M
80,50,1,H
81,50,3,H
82,50,4,H
83,50,5,H
84,50,8,H
85,50,9,H
86,50,11,H
87,50,12,H
88,50,19,H
89,50,20,H
